baseline_condition,compare_condition,model,category,subcategory,metric_name,baseline_value,compare_value,delta,delta_pct,baseline_error_file_count,baseline_error_item_count,compare_error_file_count,compare_error_item_count
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,ast_summary,70.1,68.1,-2.0,-0.028530670470756064,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,irrelevance_detection,79.41,81.22,1.8100000000000023,0.022793099105906087,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,live_overall_acc,70.1,68.1,-2.0,-0.028530670470756064,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,python_multiple_ast,70.09,68.09,-2.0,-0.028534741047224994,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,python_parallel_ast,62.5,68.75,6.25,0.1,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,python_parallel_multiple_ast,66.67,66.67,0.0,0.0,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,python_simple_ast,70.93,68.22,-2.710000000000008,-0.03820668264486124,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,rank,1.0,1.0,0.0,0.0,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,live,overall,relevance_detection,87.5,75.0,-12.5,-0.14285714285714285,6,588,6,601
orig_orig,aug_aug,azure-gpt-4o-FC,multi_turn,overall,base,53.5,56.0,2.5,0.04672897196261682,4,461,2,186
orig_orig,aug_aug,azure-gpt-4o-FC,multi_turn,overall,long_context,48.5,51.0,2.5,0.05154639175257732,4,461,2,186
orig_orig,aug_aug,azure-gpt-4o-FC,multi_turn,overall,multi_turn_overall_acc,42.38,26.75,-15.630000000000003,-0.36880604058518174,4,461,2,186
orig_orig,aug_aug,azure-gpt-4o-FC,multi_turn,overall,rank,1.0,2.0,1.0,1.0,4,461,2,186
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,ast_summary,84.67,83.79,-0.8799999999999955,-0.010393291602692754,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,irrelevance_detection,85.0,85.83,0.8299999999999983,0.009764705882352922,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,java_simple_ast,66.0,65.0,-1.0,-0.015151515151515152,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,javascript_simple_ast,74.0,72.0,-2.0,-0.02702702702702703,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,multiple_ast,91.5,88.5,-3.0,-0.03278688524590164,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,non_live_overall_acc,84.67,83.79,-0.8799999999999955,-0.010393291602692754,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,parallel_ast,90.5,92.0,1.5,0.016574585635359115,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,parallel_multiple_ast,80.0,80.0,0.0,0.0,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,python_simple_ast,90.0,87.0,-3.0,-0.03333333333333333,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,rank,1.0,1.0,0.0,0.0,7,199,7,214
orig_orig,aug_aug,azure-gpt-4o-FC,non_live,overall,simple_ast,76.67,74.67,-2.0,-0.026085822355549758,7,199,7,214
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,agentic_overall_acc,21.12,30.49,9.369999999999997,0.44365530303030287,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_kv,16.13,13.55,-2.5799999999999983,-0.15995040297582136,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_recursive_summarization,45.81,62.58,16.769999999999996,0.3660772757039947,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_summary,26.24,32.47,6.23,0.2374237804878049,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_vector,16.77,21.29,4.52,0.26952892069171136,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,rank,2.0,1.0,-1.0,-0.5,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,web_search_base,16.0,42.0,26.0,1.625,2,168,2,143
orig_orig,aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,web_search_no_snippet,16.0,15.0,-1.0,-0.0625,2,168,2,143
