model,category,subcategory,metric_name,value_orig_orig,error_file_count_orig_orig,error_item_count_orig_orig,value_aug_aug,error_file_count_aug_aug,error_item_count_aug_aug,value_aug_orig,error_file_count_aug_orig,error_item_count_aug_orig,value_orig_aug,error_file_count_orig_aug,error_item_count_orig_aug,delta_aug_aug,delta_pct_aug_aug,delta_aug_orig,delta_pct_aug_orig,delta_orig_aug,delta_pct_orig_aug
azure-gpt-4o-FC,agentic,overall,agentic_overall_acc,30.15,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,memory_kv,14.19,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,memory_recursive_summarization,32.9,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,memory_summary,21.29,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,memory_vector,16.77,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,rank,1.0,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,web_search_base,39.0,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,web_search_no_snippet,39.0,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,agentic,overall,web_search_summary,39.0,2,122,,0,0,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,live,overall,ast_summary,70.1,6,588,68.1,6,601,67.8,6,603,,0,0,-2.0,-0.028530670470756064,-2.299999999999997,-0.03281027104136944,,
azure-gpt-4o-FC,live,overall,irrelevance_detection,79.41,6,588,81.22,6,601,81.33,6,603,,0,0,1.8100000000000023,0.022793099105906087,1.9200000000000017,0.024178315073668327,,
azure-gpt-4o-FC,live,overall,live_overall_acc,70.1,6,588,68.1,6,601,67.8,6,603,,0,0,-2.0,-0.028530670470756064,-2.299999999999997,-0.03281027104136944,,
azure-gpt-4o-FC,live,overall,python_multiple_ast,70.09,6,588,68.09,6,601,68.0,6,603,,0,0,-2.0,-0.028534741047224994,-2.0900000000000034,-0.029818804394350168,,
azure-gpt-4o-FC,live,overall,python_parallel_ast,62.5,6,588,68.75,6,601,75.0,6,603,,0,0,6.25,0.1,12.5,0.2,,
azure-gpt-4o-FC,live,overall,python_parallel_multiple_ast,66.67,6,588,66.67,6,601,66.67,6,603,,0,0,0.0,0.0,0.0,0.0,,
azure-gpt-4o-FC,live,overall,python_simple_ast,70.93,6,588,68.22,6,601,66.67,6,603,,0,0,-2.710000000000008,-0.03820668264486124,-4.260000000000005,-0.06005921330889616,,
azure-gpt-4o-FC,live,overall,rank,1.0,6,588,1.0,6,601,1.0,6,603,,0,0,0.0,0.0,0.0,0.0,,
azure-gpt-4o-FC,live,overall,relevance_detection,87.5,6,588,75.0,6,601,81.25,6,603,,0,0,-12.5,-0.14285714285714285,-6.25,-0.07142857142857142,,
azure-gpt-4o-FC,multi_turn,overall,base,53.5,4,461,56.0,2,186,,0,0,,0,0,2.5,0.04672897196261682,,,,
azure-gpt-4o-FC,multi_turn,overall,long_context,48.5,4,461,51.0,2,186,,0,0,,0,0,2.5,0.05154639175257732,,,,
azure-gpt-4o-FC,multi_turn,overall,miss_func,33.5,4,461,,2,186,,0,0,,0,0,,,,,,
azure-gpt-4o-FC,multi_turn,overall,miss_param,34.0,4,461,,2,186,,0,0,,0,0,,,,,,
