condition,model,category,subcategory,metric_name,metric_value,error_file_count,error_item_count
aug_aug,azure-gpt-4o-FC,live,overall,ast_summary,68.1,6,601
aug_aug,azure-gpt-4o-FC,live,overall,irrelevance_detection,81.22,6,601
aug_aug,azure-gpt-4o-FC,live,overall,live_overall_acc,68.1,6,601
aug_aug,azure-gpt-4o-FC,live,overall,python_multiple_ast,68.09,6,601
aug_aug,azure-gpt-4o-FC,live,overall,python_parallel_ast,68.75,6,601
aug_aug,azure-gpt-4o-FC,live,overall,python_parallel_multiple_ast,66.67,6,601
aug_aug,azure-gpt-4o-FC,live,overall,python_simple_ast,68.22,6,601
aug_aug,azure-gpt-4o-FC,live,overall,rank,1.0,6,601
aug_aug,azure-gpt-4o-FC,live,overall,relevance_detection,75.0,6,601
aug_aug,azure-gpt-4o-FC,multi_turn,overall,base,56.0,2,186
aug_aug,azure-gpt-4o-FC,multi_turn,overall,long_context,51.0,2,186
aug_aug,azure-gpt-4o-FC,multi_turn,overall,multi_turn_overall_acc,26.75,2,186
aug_aug,azure-gpt-4o-FC,multi_turn,overall,rank,2.0,2,186
aug_aug,azure-gpt-4o-FC,non_live,overall,ast_summary,83.79,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,irrelevance_detection,85.83,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,java_simple_ast,65.0,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,javascript_simple_ast,72.0,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,multiple_ast,88.5,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,non_live_overall_acc,83.79,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,parallel_ast,92.0,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,parallel_multiple_ast,80.0,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,python_simple_ast,87.0,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,rank,1.0,7,214
aug_aug,azure-gpt-4o-FC,non_live,overall,simple_ast,74.67,7,214
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,agentic_overall_acc,30.49,2,143
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_kv,13.55,2,143
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_recursive_summarization,62.58,2,143
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_summary,32.47,2,143
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,memory_vector,21.29,2,143
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,rank,1.0,2,143
aug_aug,azure-gpt-5.1-responses-FC,agentic,overall,web_search_base,42.0,2,143
