group_level,group_name,metric_name,mean,median,p25,p75,n
category,simple_java,aug_avg_sentence_len,21.67835714285714,21.5,19.571428571428573,23.196428571428573,100
category,simple_java,aug_bullet_count,0.03,0.0,0.0,0.0,100
category,simple_java,aug_char_count,818.73,811.0,762.0,868.25,100
category,simple_java,aug_constraint_mention_count,1.47,1.0,0.0,2.0,100
category,simple_java,aug_enum_value_mentions,0,0.0,0.0,0.0,100
category,simple_java,aug_example_block_count,0,0.0,0.0,0.0,100
category,simple_java,aug_flesch_kincaid_grade,12.517139112709817,12.4064056473328,11.2803347361858,13.669554685588455,100
category,simple_java,aug_flesch_reading_ease,43.932462977642246,44.42441099248286,37.65628964785217,50.54504807692308,100
category,simple_java,aug_has_edge_case_guidance,0.1,0.0,0.0,0.0,100
category,simple_java,aug_has_example,0.12,0.0,0.0,0.0,100
category,simple_java,aug_has_step_by_step,0,0.0,0.0,0.0,100
category,simple_java,aug_line_count,2.07,1.0,1.0,3.0,100
category,simple_java,aug_long_word_ratio,0.06945356350863927,0.0687293339631554,0.04715182086614173,0.09177121552846491,100
category,simple_java,aug_param_name_coverage,0.9975,1.0,1.0,1.0,100
category,simple_java,aug_repetition_rate,0.4040400314272232,0.4015173285821024,0.375,0.4305747069831577,100
category,simple_java,aug_required_param_coverage,0.9975,1.0,1.0,1.0,100
category,simple_java,aug_sentence_count,6.29,6.0,6.0,7.0,100
category,simple_java,aug_ttr,0.5959599685727768,0.5984826714178977,0.5694252930168423,0.625,100
category,simple_java,aug_type_coverage,0.5440833333333334,0.5,0.0,1.0,100
category,simple_java,aug_unique_word_count,79.84,79.5,74.0,84.25,100
category,simple_java,aug_word_count,134.08,134.0,128.0,140.0,100
category,simple_java,aug_word_entropy,5.978725781358782,5.97590480657615,5.869806143608171,6.077252882632927,100
category,simple_java,delta_avg_sentence_len,2.383357142857143,3.5476190476190474,-2.083333333333333,7.488095238095237,100
category,simple_java,delta_bullet_count,0.03,0.0,0.0,0.0,100
category,simple_java,delta_char_count,679.75,675.5,629.75,719.25,100
category,simple_java,delta_constraint_mention_count,1.31,1.0,0.0,2.0,100
category,simple_java,delta_enum_value_mentions,0,0.0,0.0,0.0,100
category,simple_java,delta_example_block_count,0,0.0,0.0,0.0,100
category,simple_java,delta_flesch_kincaid_grade,-0.6025282422622096,-0.6159368573908885,-2.837259211376857,1.6810083581819848,100
category,simple_java,delta_flesch_reading_ease,8.564822573458605,8.331761303099825,-3.001713114754093,18.527273833389714,100
category,simple_java,delta_has_edge_case_guidance,0.02,0.0,0.0,0.0,100
category,simple_java,delta_has_example,0.12,0.0,0.0,0.0,100
category,simple_java,delta_has_step_by_step,0,0.0,0.0,0.0,100
category,simple_java,delta_line_count,1.07,0.0,0.0,2.0,100
category,simple_java,delta_long_word_ratio,-0.01598167132765681,-0.008978176414897992,-0.03929758293953453,0.01570649030603264,100
category,simple_java,delta_param_name_coverage,0.7003333333333334,0.8,0.5,1.0,100
category,simple_java,delta_repetition_rate,0.2654442422224049,0.2667975593959846,0.217479849505397,0.31774812827138404,100
category,simple_java,delta_required_param_coverage,0.6898333333333333,0.775,0.5,1.0,100
category,simple_java,delta_sentence_count,5.1,5.0,4.0,6.0,100
category,simple_java,delta_ttr,-0.2654442422224049,-0.2667975593959846,-0.31774812827138404,-0.217479849505397,100
category,simple_java,delta_type_coverage,0.4374166666666667,0.5,0.0,1.0,100
category,simple_java,delta_unique_word_count,61.18,61.0,55.0,67.0,100
category,simple_java,delta_word_count,112.11,112.0,104.75,118.0,100
category,simple_java,delta_word_entropy,1.8897246076722716,1.8920970259712542,1.593977351598416,2.114824778852644,100
category,simple_java,orig_avg_sentence_len,19.295,18.75,15.0,23.0,100
category,simple_java,orig_bullet_count,0,0.0,0.0,0.0,100
category,simple_java,orig_char_count,138.98,139.0,114.0,160.25,100
category,simple_java,orig_constraint_mention_count,0.16,0.0,0.0,0.0,100
category,simple_java,orig_enum_value_mentions,0,0.0,0.0,0.0,100
category,simple_java,orig_example_block_count,0,0.0,0.0,0.0,100
category,simple_java,orig_flesch_kincaid_grade,13.119667354972027,13.371818181818181,10.683125,15.034807692307695,100
category,simple_java,orig_flesch_reading_ease,35.367640404183646,37.07763157894739,22.198750000000025,48.16754310344829,100
category,simple_java,orig_has_edge_case_guidance,0.08,0.0,0.0,0.0,100
category,simple_java,orig_has_example,0,0.0,0.0,0.0,100
category,simple_java,orig_has_step_by_step,0,0.0,0.0,0.0,100
category,simple_java,orig_line_count,1,1.0,1.0,1.0,100
category,simple_java,orig_long_word_ratio,0.08543523483629609,0.08333333333333333,0.041666666666666664,0.11764705882352941,100
category,simple_java,orig_param_name_coverage,0.2971666666666667,0.18333333333333335,0.0,0.5,100
category,simple_java,orig_repetition_rate,0.1385957892048183,0.13961038961038963,0.07923076923076919,0.1875,100
category,simple_java,orig_required_param_coverage,0.30766666666666664,0.18333333333333335,0.0,0.5,100
category,simple_java,orig_sentence_count,1.19,1.0,1.0,1.0,100
category,simple_java,orig_ttr,0.8614042107951817,0.8603896103896104,0.8125,0.9207692307692308,100
category,simple_java,orig_type_coverage,0.10666666666666666,0.0,0.0,0.0,100
category,simple_java,orig_unique_word_count,18.66,18.0,15.0,21.25,100
category,simple_java,orig_word_count,21.97,21.5,17.75,26.0,100
category,simple_java,orig_word_entropy,4.08900117368651,4.112152514690676,3.8293846451860327,4.3117883766706955,100
category,live_multiple,aug_avg_sentence_len,20.02133494031221,19.857142857142858,18.138392857142858,22.166666666666668,220
category,live_multiple,aug_bullet_count,0.01818181818181818,0.0,0.0,0.0,220
category,live_multiple,aug_char_count,801.0954545454546,809.5,758.75,844.0,220
category,live_multiple,aug_constraint_mention_count,1.981818181818182,1.0,1.0,3.0,220
category,live_multiple,aug_enum_field_coverage,0.9519230769230769,1.0,1.0,1.0,52
category,live_multiple,aug_enum_value_mentions,0.95,0.0,0.0,0.0,220
category,live_multiple,aug_example_block_count,0,0.0,0.0,0.0,220
category,live_multiple,aug_flesch_kincaid_grade,11.966123959281516,11.79569667388602,10.93478602168567,12.972593703148426,220
category,live_multiple,aug_flesch_reading_ease,44.93163639706152,45.49484610039242,38.52782827967206,51.624439496314494,220
category,live_multiple,aug_has_edge_case_guidance,0.022727272727272728,0.0,0.0,0.0,220
category,live_multiple,aug_has_example,0.17727272727272728,0.0,0.0,0.0,220
category,live_multiple,aug_has_step_by_step,0,0.0,0.0,0.0,220
category,live_multiple,aug_line_count,2.5045454545454544,1.0,1.0,5.0,220
category,live_multiple,aug_long_word_ratio,0.06661152516805964,0.06294014084507042,0.04316546762589928,0.08548414304993253,220
category,live_multiple,aug_nested_leaf_coverage,1.0,1.0,1.0,1.0,9
category,live_multiple,aug_param_name_coverage,0.997656934643236,1.0,1.0,1.0,219
category,live_multiple,aug_repetition_rate,0.3786298083909825,0.375,0.3516837284482759,0.40918038654259126,220
category,live_multiple,aug_required_param_coverage,0.9988038277511961,1.0,1.0,1.0,209
category,live_multiple,aug_sentence_count,6.718181818181818,6.0,6.0,7.0,220
category,live_multiple,aug_ttr,0.6213701916090175,0.625,0.5908196134574087,0.6483162715517241,220
category,live_multiple,aug_type_coverage,0.5903885561419808,0.6666666666666666,0.08333333333333333,1.0,219
category,live_multiple,aug_unique_word_count,81.48181818181818,82.0,75.0,87.0,220
category,live_multiple,aug_word_count,131.29090909090908,132.0,125.0,139.0,220
category,live_multiple,aug_word_entropy,6.036515503654055,6.032036074365006,5.916793735787389,6.152735761463754,220
category,live_multiple,delta_avg_sentence_len,4.789922602649876,5.416666666666666,1.9727272727272722,8.333333333333332,220
category,live_multiple,delta_bullet_count,0.01818181818181818,0.0,0.0,0.0,220
category,live_multiple,delta_char_count,675.8328463203463,683.75,626.375,731.25,220
category,live_multiple,delta_constraint_mention_count,1.7712121212121212,1.0,0.45833333333333337,2.0,220
category,live_multiple,delta_enum_field_coverage,0.6666666666666666,1.0,0.0,1.0,52
category,live_multiple,delta_enum_value_mentions,0.8090909090909091,0.0,0.0,0.0,220
category,live_multiple,delta_example_block_count,0,0.0,0.0,0.0,220
category,live_multiple,delta_flesch_kincaid_grade,-0.33144784599662386,-0.6069751405311106,-2.2364919239953456,1.4336915966386554,220
category,live_multiple,delta_flesch_reading_ease,10.907651789085323,11.233006877228718,0.9763255200667373,20.990947596724062,220
category,live_multiple,delta_has_edge_case_guidance,0.01818181818181818,0.0,0.0,0.0,220
category,live_multiple,delta_has_example,0.17727272727272728,0.0,0.0,0.0,220
category,live_multiple,delta_has_step_by_step,0,0.0,0.0,0.0,220
category,live_multiple,delta_line_count,1.5045454545454546,0.0,0.0,4.0,220
category,live_multiple,delta_long_word_ratio,-0.027058664198098364,-0.0203009873268494,-0.06124742116121426,0.014465337461520669,220
category,live_multiple,delta_nested_leaf_coverage,1.0,1.0,1.0,1.0,9
category,live_multiple,delta_param_name_coverage,0.680357389946431,0.7777777777777778,0.5,1.0,219
category,live_multiple,delta_repetition_rate,0.2910717021300545,0.3031242824339839,0.24071479068827953,0.34979538690476186,220
category,live_multiple,delta_required_param_coverage,0.5598750664540139,0.6666666666666667,0.0,1.0,209
category,live_multiple,delta_sentence_count,5.409848484848485,5.0,5.0,6.0,220
category,live_multiple,delta_ttr,-0.2910717021300545,-0.3031242824339839,-0.34979538690476186,-0.24071479068827953,220
category,live_multiple,delta_type_coverage,0.5093106538312018,0.5,0.0,1.0,219
category,live_multiple,delta_unique_word_count,64.14718614718615,64.0,58.375,71.0,220
category,live_multiple,delta_word_count,111.78695887445888,113.16666666666666,104.375,120.0,220
category,live_multiple,delta_word_entropy,2.071718058746939,2.1157658583851386,1.7894842268975433,2.3863374548828764,220
category,live_multiple,orig_avg_sentence_len,15.231412337662338,14.0,12.0,18.0,220
category,live_multiple,orig_bullet_count,0,0.0,0.0,0.0,220
