group_level,group_name,metric_name,mean,median,p25,p75,n
subcategory,single_turn/non_live,aug_avg_sentence_len,20.816594193545576,20.857142857142858,19.0,22.5,1121
subcategory,single_turn/non_live,aug_bullet_count,0.012488849241748439,0,0,0,1121
subcategory,single_turn/non_live,aug_char_count,792.2542372881356,791,748,836,1121
subcategory,single_turn/non_live,aug_constraint_mention_count,2.046387154326494,2,1,3,1121
subcategory,single_turn/non_live,aug_enum_field_coverage,1.0,1.0,1.0,1.0,83
subcategory,single_turn/non_live,aug_enum_value_mentions,0.2542372881355932,0,0,0,1121
subcategory,single_turn/non_live,aug_example_block_count,0,0,0,0,1121
subcategory,single_turn/non_live,aug_flesch_kincaid_grade,11.83626431511752,11.754272151898736,10.696023976023977,12.86936974789916,1121
subcategory,single_turn/non_live,aug_flesch_reading_ease,47.27910161922082,47.60236974789916,41.11750000000001,54.22166666666668,1121
subcategory,single_turn/non_live,aug_has_edge_case_guidance,0.016057091882247992,0,0,0,1121
subcategory,single_turn/non_live,aug_has_example,0.20785013380909903,0,0,0,1121
subcategory,single_turn/non_live,aug_has_step_by_step,0,0,0,0,1121
subcategory,single_turn/non_live,aug_line_count,1.5780553077609278,1,1,1,1121
subcategory,single_turn/non_live,aug_long_word_ratio,0.06265073560855654,0.05970149253731343,0.04285714285714286,0.07964601769911504,1121
subcategory,single_turn/non_live,aug_nested_leaf_coverage,1.0,1.0,1.0,1.0,17
subcategory,single_turn/non_live,aug_param_name_coverage,0.9994796312815938,1.0,1.0,1.0,1121
subcategory,single_turn/non_live,aug_repetition_rate,0.393909225279952,0.3939393939393939,0.36363636363636365,0.4225352112676056,1121
subcategory,single_turn/non_live,aug_required_param_coverage,0.9994796312815938,1.0,1.0,1.0,1121
subcategory,single_turn/non_live,aug_sentence_count,6.464763603925067,6,6,7,1121
subcategory,single_turn/non_live,aug_ttr,0.606090774720048,0.6060606060606061,0.5774647887323944,0.6363636363636364,1121
subcategory,single_turn/non_live,aug_type_coverage,0.6849995752092095,1.0,0.3333333333333333,1.0,1121
subcategory,single_turn/non_live,aug_unique_word_count,79.8314005352364,80,75,85,1121
subcategory,single_turn/non_live,aug_word_count,131.86173059768063,132,126,138,1121
subcategory,single_turn/non_live,aug_word_entropy,5.991765683749103,5.999896340091057,5.8826113802992355,6.106887499807015,1121
subcategory,single_turn/non_live,delta_avg_sentence_len,8.054254021080515,8.833333333333332,5.399999999999999,11.666666666666668,1121
subcategory,single_turn/non_live,delta_bullet_count,0.012488849241748439,0,0,0,1121
subcategory,single_turn/non_live,delta_char_count,709.0896520963425,709,665,758,1121
subcategory,single_turn/non_live,delta_constraint_mention_count,1.8398751115075824,1,1,3,1121
subcategory,single_turn/non_live,delta_enum_field_coverage,0.8192771084337349,1.0,1.0,1.0,83
subcategory,single_turn/non_live,delta_enum_value_mentions,0.23015165031222123,0,0,0,1121
subcategory,single_turn/non_live,delta_example_block_count,0,0,0,0,1121
subcategory,single_turn/non_live,delta_flesch_kincaid_grade,1.5990500803288332,1.76282296650718,-0.52430107526882,3.6950000000000003,1121
subcategory,single_turn/non_live,delta_flesch_reading_ease,2.8810694885788055,1.5398194532739922,-10.003069381598806,14.917233893557437,1121
subcategory,single_turn/non_live,delta_has_edge_case_guidance,0.006244424620874219,0,0,0,1121
subcategory,single_turn/non_live,delta_has_example,0.20785013380909903,0,0,0,1121
subcategory,single_turn/non_live,delta_has_step_by_step,0,0,0,0,1121
subcategory,single_turn/non_live,delta_line_count,0.5780553077609277,0,0,0,1121
subcategory,single_turn/non_live,delta_long_word_ratio,-0.004803737782951154,0.007933989209774672,-0.04018912529550826,0.043478260869565216,1121
subcategory,single_turn/non_live,delta_nested_leaf_coverage,0.9411764705882353,1.0,1.0,1.0,17
subcategory,single_turn/non_live,delta_param_name_coverage,0.595425003185931,0.6666666666666667,0.33333333333333337,1.0,1121
subcategory,single_turn/non_live,delta_repetition_rate,0.3283106325263202,0.3384615384615385,0.27671232876712326,0.3868613138686131,1121
subcategory,single_turn/non_live,delta_required_param_coverage,0.5219025671523442,0.5,0.0,1.0,1121
subcategory,single_turn/non_live,delta_sentence_count,5.400089206066013,5,5,6,1121
subcategory,single_turn/non_live,delta_ttr,-0.3283106325263202,-0.3384615384615385,-0.3868613138686131,-0.27671232876712326,1121
subcategory,single_turn/non_live,delta_type_coverage,0.5857153476912621,0.6666666666666666,0.0,1.0,1121
subcategory,single_turn/non_live,delta_unique_word_count,67.48810585786501,68,62,73,1121
subcategory,single_turn/non_live,delta_word_count,118.31690454950936,119,112,125.5,1121
subcategory,single_turn/non_live,delta_word_entropy,2.500453969134071,2.524964402630747,2.209193490750998,2.8147454271942625,1121
subcategory,single_turn/non_live,orig_avg_sentence_len,12.762340172465061,12.0,9.0,15.0,1121
subcategory,single_turn/non_live,orig_bullet_count,0,0,0,0,1121
subcategory,single_turn/non_live,orig_char_count,83.16458519179304,73,58,95,1121
subcategory,single_turn/non_live,orig_constraint_mention_count,0.2065120428189117,0,0,0,1121
subcategory,single_turn/non_live,orig_enum_field_coverage,0.18072289156626506,0.0,0.0,0.0,83
subcategory,single_turn/non_live,orig_enum_value_mentions,0.02408563782337199,0,0,0,1121
subcategory,single_turn/non_live,orig_example_block_count,0,0,0,0,1121
subcategory,single_turn/non_live,orig_flesch_kincaid_grade,10.237214234788686,10.098571428571429,7.623269230769232,12.55764705882353,1121
subcategory,single_turn/non_live,orig_flesch_reading_ease,44.39803213064201,45.61857142857143,29.515000000000015,60.70500000000001,1121
subcategory,single_turn/non_live,orig_has_edge_case_guidance,0.009812667261373774,0,0,0,1121
subcategory,single_turn/non_live,orig_has_example,0,0,0,0,1121
subcategory,single_turn/non_live,orig_has_step_by_step,0,0,0,0,1121
subcategory,single_turn/non_live,orig_line_count,1,1,1,1,1121
subcategory,single_turn/non_live,orig_long_word_ratio,0.0674544733915077,0.0625,0.0,0.1111111111111111,1121
subcategory,single_turn/non_live,orig_nested_leaf_coverage,0.058823529411764705,0.0,0.0,0.0,17
subcategory,single_turn/non_live,orig_param_name_coverage,0.4040546280956629,0.3333333333333333,0.0,0.6666666666666666,1121
subcategory,single_turn/non_live,orig_repetition_rate,0.06559859275363181,0.05555555555555558,0.0,0.11111111111111116,1121
subcategory,single_turn/non_live,orig_required_param_coverage,0.47757706412924966,0.5,0.0,1.0,1121
subcategory,single_turn/non_live,orig_sentence_count,1.0646743978590545,1,1,1,1121
subcategory,single_turn/non_live,orig_ttr,0.9344014072463682,0.9444444444444444,0.8888888888888888,1.0,1121
subcategory,single_turn/non_live,orig_type_coverage,0.09928422751794741,0.0,0.0,0.0,1121
subcategory,single_turn/non_live,orig_unique_word_count,12.343294677371395,11,9,14,1121
subcategory,single_turn/non_live,orig_word_count,13.544826048171275,12,10,15,1121
subcategory,single_turn/non_live,orig_word_entropy,3.4913117146150316,3.459431618637298,3.169925001442312,3.773557262275185,1121
subcategory,single_turn/live,aug_avg_sentence_len,19.924594007995648,19.857142857142858,17.96875,22.0,732
subcategory,single_turn/live,aug_bullet_count,0.023224043715846996,0.0,0.0,0.0,732
subcategory,single_turn/live,aug_char_count,797.3920765027323,795.5,748.0,846.0,732
subcategory,single_turn/live,aug_constraint_mention_count,2.370218579234973,2.0,1.0,3.0,732
subcategory,single_turn/live,aug_enum_field_coverage,0.8993961352657005,1.0,1.0,1.0,276
subcategory,single_turn/live,aug_enum_value_mentions,1.3524590163934427,0.0,0.0,3.0,732
subcategory,single_turn/live,aug_example_block_count,0,0.0,0.0,0.0,732
subcategory,single_turn/live,aug_flesch_kincaid_grade,11.69084440341894,11.565298558897243,10.5340780730897,12.752758809336777,732
subcategory,single_turn/live,aug_flesch_reading_ease,46.732945401423954,47.64639753451678,40.836340062111816,53.31663922580176,732
subcategory,single_turn/live,aug_has_edge_case_guidance,0.0273224043715847,0.0,0.0,0.0,732
subcategory,single_turn/live,aug_has_example,0.16939890710382513,0.0,0.0,0.0,732
subcategory,single_turn/live,aug_has_step_by_step,0,0.0,0.0,0.0,732
subcategory,single_turn/live,aug_line_count,2.228142076502732,1.0,1.0,3.0,732
subcategory,single_turn/live,aug_long_word_ratio,0.06217216152338914,0.05925925925925926,0.040622940013183916,0.07978260869565217,732
subcategory,single_turn/live,aug_nested_leaf_coverage,0.9458333333333333,1.0,1.0,1.0,30
subcategory,single_turn/live,aug_param_name_coverage,0.9975340820795366,1.0,1.0,1.0,715
subcategory,single_turn/live,aug_repetition_rate,0.3790666039451578,0.3798449612403101,0.35150971283783783,0.40909090909090906,732
subcategory,single_turn/live,aug_required_param_coverage,0.9989051094890511,1.0,1.0,1.0,685
subcategory,single_turn/live,aug_sentence_count,6.778688524590164,7.0,6.0,7.0,732
subcategory,single_turn/live,aug_ttr,0.6209333960548422,0.6201550387596899,0.5909090909090909,0.6484902871621622,732
subcategory,single_turn/live,aug_type_coverage,0.6379856002583275,0.75,0.25,1.0,715
subcategory,single_turn/live,aug_unique_word_count,81.79781420765028,81.0,76.0,88.0,732
subcategory,single_turn/live,aug_word_count,131.92896174863387,132.0,125.0,140.0,732
subcategory,single_turn/live,aug_word_entropy,6.036976911009945,6.029180027967275,5.922727856932262,6.1594543858622774,732
subcategory,single_turn/live,delta_avg_sentence_len,5.0157270296313206,5.354166666666666,2.375,8.333333333333332,732
subcategory,single_turn/live,delta_bullet_count,0.023224043715846996,0.0,0.0,0.0,732
subcategory,single_turn/live,delta_char_count,678.7985357157307,683.0,626.0,731.625,732
subcategory,single_turn/live,delta_constraint_mention_count,2.0892341682300697,2.0,1.0,3.0,732
subcategory,single_turn/live,delta_enum_field_coverage,0.7175271739130434,1.0,0.33333333333333337,1.0,276
subcategory,single_turn/live,delta_enum_value_mentions,1.211714480874317,0.0,0.0,2.0,732
subcategory,single_turn/live,delta_example_block_count,0,0.0,0.0,0.0,732
subcategory,single_turn/live,delta_flesch_kincaid_grade,-0.22370874352094072,-0.1676015724599509,-1.9289513825465456,1.6995669029531362,732
subcategory,single_turn/live,delta_flesch_reading_ease,10.537397854545176,9.624072457444534,-0.07998183387909918,20.271209996144215,732
subcategory,single_turn/live,delta_has_edge_case_guidance,0.02185792349726776,0.0,0.0,0.0,732
subcategory,single_turn/live,delta_has_example,0.1638888888888889,0.0,0.0,0.0,732
subcategory,single_turn/live,delta_has_step_by_step,0,0.0,0.0,0.0,732
subcategory,single_turn/live,delta_line_count,1.2281420765027322,0.0,0.0,2.0,732
subcategory,single_turn/live,delta_long_word_ratio,-0.02647209706261828,-0.021719826295298,-0.05687526314826002,0.016315374834144192,732
subcategory,single_turn/live,delta_nested_leaf_coverage,0.9458333333333333,1.0,1.0,1.0,30
subcategory,single_turn/live,delta_param_name_coverage,0.6838788814518967,0.8,0.5,1.0,715
subcategory,single_turn/live,delta_repetition_rate,0.29388689198387297,0.30218800493157816,0.23895278497882896,0.35203258145363403,732
subcategory,single_turn/live,delta_required_param_coverage,0.5655953428280608,0.6666666666666667,0.0,1.0,685
subcategory,single_turn/live,delta_sentence_count,5.481001583062818,5.0,5.0,6.0,732
subcategory,single_turn/live,delta_ttr,-0.29388689198387297,-0.30218800493157816,-0.35203258145363403,-0.23895278497882896,732
subcategory,single_turn/live,delta_type_coverage,0.5349828782975636,0.6,0.0,1.0,715
subcategory,single_turn/live,delta_unique_word_count,65.10147208210732,65.0,59.575,71.25,732
subcategory,single_turn/live,delta_word_count,113.2351685768694,114.0,106.0,122.0,732
subcategory,single_turn/live,delta_word_entropy,2.120511741840641,2.1466028227947747,1.8484766921926734,2.431113548894045,732
subcategory,single_turn/live,orig_avg_sentence_len,14.908866978364326,14.333333333333334,12.0,17.0,732
subcategory,single_turn/live,orig_bullet_count,0,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_char_count,118.59354078700149,107.0,84.0,139.0,732
subcategory,single_turn/live,orig_constraint_mention_count,0.2809844110049028,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_enum_field_coverage,0.181868961352657,0.0,0.0,0.0,276
subcategory,single_turn/live,orig_enum_value_mentions,0.1407445355191257,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_example_block_count,0,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_flesch_kincaid_grade,11.91455314693988,11.852590177580467,9.825,13.816849099974103,732
subcategory,single_turn/live,orig_flesch_reading_ease,36.19554754687878,36.51000000000002,24.3048004201681,50.093484492481224,732
subcategory,single_turn/live,orig_has_edge_case_guidance,0.00546448087431694,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_has_example,0.005510018214936248,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_has_step_by_step,0,0.0,0.0,0.0,732
subcategory,single_turn/live,orig_line_count,1,1.0,1.0,1.0,732
subcategory,single_turn/live,orig_long_word_ratio,0.08864425858600741,0.07777777777777778,0.03702984817115251,0.125,732
subcategory,single_turn/live,orig_nested_leaf_coverage,0.0,0.0,0.0,0.0,30
subcategory,single_turn/live,orig_param_name_coverage,0.31365520062763996,0.2,0.0,0.5,715
subcategory,single_turn/live,orig_repetition_rate,0.08517971196128483,0.07686733556298772,0.018329326923076913,0.1333333333333333,732
subcategory,single_turn/live,orig_required_param_coverage,0.43330976666099036,0.3333333333333333,0.0,1.0,685
subcategory,single_turn/live,orig_sentence_count,1.2976869415273466,1.0,1.0,1.3333333333333333,732
subcategory,single_turn/live,orig_ttr,0.9148202880387152,0.9231326644370123,0.8666666666666667,0.9816706730769231,732
subcategory,single_turn/live,orig_type_coverage,0.10300272196076392,0.0,0.0,0.0,715
subcategory,single_turn/live,orig_unique_word_count,16.696342125542945,15.535714285714285,12.333333333333334,19.0,732
subcategory,single_turn/live,orig_word_count,18.693793171764483,17.0,13.0,22.0,732
subcategory,single_turn/live,orig_word_entropy,3.9164651691693044,3.8905578268899443,3.584962500721156,4.185586048597232,732
subcategory,multi_turn/multi_turn,aug_avg_sentence_len,21.709382832080202,21.416666666666664,19.833333333333332,23.4,76
subcategory,multi_turn/multi_turn,aug_bullet_count,0,0.0,0.0,0.0,76
subcategory,multi_turn/multi_turn,aug_char_count,762.0657894736842,750.0,705.0,812.25,76
subcategory,multi_turn/multi_turn,aug_constraint_mention_count,0.9078947368421053,1.0,0.0,1.0,76
subcategory,multi_turn/multi_turn,aug_enum_value_mentions,0,0.0,0.0,0.0,76
subcategory,multi_turn/multi_turn,aug_example_block_count,0,0.0,0.0,0.0,76
subcategory,multi_turn/multi_turn,aug_flesch_kincaid_grade,12.736258045758488,12.669481176718019,11.645607054455446,13.625870554177007,76
subcategory,multi_turn/multi_turn,aug_flesch_reading_ease,42.416751551751005,43.0689767898006,37.37194746376812,49.32168845500851,76
subcategory,multi_turn/multi_turn,aug_has_edge_case_guidance,0.02631578947368421,0.0,0.0,0.0,76
subcategory,multi_turn/multi_turn,aug_has_example,0.11842105263157894,0.0,0.0,0.0,76
subcategory,multi_turn/multi_turn,aug_has_step_by_step,0,0.0,0.0,0.0,76
subcategory,multi_turn/multi_turn,aug_line_count,1.8157894736842106,1.0,1.0,3.0,76
subcategory,multi_turn/multi_turn,aug_long_word_ratio,0.06190115576345203,0.05600358422939068,0.0386953712406015,0.07543859649122807,76
subcategory,multi_turn/multi_turn,aug_repetition_rate,0.3501657944867311,0.3421113421113421,0.32432201944397065,0.3795240809347392,76
subcategory,multi_turn/multi_turn,aug_sentence_count,5.802631578947368,6.0,5.0,6.0,76
subcategory,multi_turn/multi_turn,aug_ttr,0.649834205513269,0.6578886578886579,0.6204759190652608,0.6756779805560293,76
subcategory,multi_turn/multi_turn,aug_unique_word_count,80.65789473684211,81.0,75.75,85.25,76
subcategory,multi_turn/multi_turn,aug_word_count,124.40789473684211,122.0,116.75,133.0,76
